md,site,layer,sensor_depth,site_depth,date_in,time_in,date_out,time_out,lat,lon,calibrating,flag,comments
md1,st33,pel,0.5,3.3,2017-06-16,"NA",2017-06-20,"NA","NA","NA",y,0,Calibrated next to Sonde at 33
md1,st33,ben,3.3,3.3,2017-06-30,01:00:00,2017-07-13,11:23:00,"NA","NA",n,0,deployed at bottom of st33
md1,st33,ben,3.3,3.3,2017-07-13,11:33:00,2017-09-25,09:00:00,"NA","NA",n,0,deployed at bottom of st33
md1,st33,ben,3.3,3.3,2017-10-03,14:00:00,2018-05-31,00:00:00,"NA","NA",n,0,deployed at bottom of st33 over winter
md2,e1,ben,2.7,2.7,2017-10-03,13:30:00,2018-05-29,00:00:00,"NA","NA",n,0,deployed over winter at E1
md3,st33,pel,0.5,3.3,2018-05-27,"NA",2018-05-29,"NA","NA","NA",y,1,"calibrated against sonde, but the sonde was not logging."
md2,btl,pel,0.5,1.5,2018-05-30,"NA",2018-05-31,"NA","NA","NA",y,0,"calibrated against md 3,4, 5 at btl"
md3,btl,pel,0.5,1.5,2018-05-30,"NA",2018-05-31,"NA","NA","NA",y,0,"calibrated against 2,4,5 at boat launch"
md4,btl,pel,0.5,1.5,2018-05-30,"NA",2018-05-31,"NA","NA","NA",y,0,"calibrating against 2,3,5 at btl"
md5,btl,pel,0.5,1.5,2018-05-30,"NA",2018-05-31,"NA","NA","NA",y,0,calibrating at btl
md1,btl,pel,0.5,1.5,2018-05-31,"NA",2018-06-05,"NA","NA","NA",y,0,calibrated against md4 at surface in btl
md3,st33,ben,3.3,3.3,2018-05-31,12:30:00,2018-06-05,00:00:00,"NA","NA",n,1,deployed at bottom of st33. calibrating? Unkown purpose. Exact time out unknown
md4,btl,pel,0.5,1.5,2018-05-31,"NA",2018-06-05,"NA","NA","NA",y,0,calibrating against #1 at btl surface
md1,buck,"NA","NA","NA",2018-06-07,"NA",2018-06-09,"NA","NA","NA",y,1,calibrating in black bucket at lab; done prior to cleaning
md2,buck,"NA","NA","NA",2018-06-07,"NA",2018-06-09,"NA","NA","NA",y,1,calibrating in black bucket at lab; done prior to cleaning
md3,buck,"NA","NA","NA",2018-06-07,"NA",2018-06-09,"NA","NA","NA",y,0,calibrating in black bucket at lab
md4,buck,"NA","NA","NA",2018-06-07,"NA",2018-06-09,"NA","NA","NA",y,0,calibrating in black bucket at lab
md5,buck,"NA","NA","NA",2018-06-07,"NA",2018-06-09,"NA","NA","NA",y,0,calibrating in black bucket at lab
md1,buck,"NA","NA","NA",2018-06-09,17:00:00,2018-06-10,13:00:00,"NA","NA",y,0,calibrating in black bucket at lab
md2,buck,"NA","NA","NA",2018-06-09,17:00:00,2018-06-10,13:00:00,"NA","NA",y,0,calibrating in black bucket at lab
md3,buck,"NA","NA","NA",2018-06-09,17:00:00,2018-06-10,13:00:00,"NA","NA",y,0,calibrating in black bucket at lab
